,ID,QUESTION,ANSWER,PUBLICATION DATE,ARCHIVED
,11525,Is it allowed to declare partially completed work packages under the lump sum funding scheme in Horizon Europe or Horizon 2020?,"You may exceptionally declare a work package as partially completed at the end of the last reporting period. In this case, you need to indicate a percentage of completion that should correspond to the share of activities described in the grant agreement that have been carried out.You should declare work packages as partially completed if essential parts have not been carried out and not been replaced with equivalent work. This needs to be explained and justified in the final technical report. The degree of completion is not linked to cost expenditure or use of resources.",10/01/2025,FALSE
,55248,When will the Republic of Korea associate to Horizon Europe?,"In 2024, the Government of the Republic of Korea and the European Commission, representing the European Union, concluded negotiations for an international agreement on general terms and conditions for the Republic of Korea’s participation in Union programmes and specific terms and conditions for its participation in Horizon Europe.The Republic of Korea will become an associated country to Pillar II of Horizon Europe once this international agreement starts producing legal effects (through its entry in the force or provisional application). In the meantime, as of 1 January 2025, transitional arrangement applies to legal entities established in the Republic of Korea in calls under Pillar II of Horizon Europe published in Work Programmes 2025 and onwards.",06/01/2025,FALSE
,55257,Do transitional arrangements apply to legal entities established in Switzerland?,"Yes. Switzerland is in the list of third countries to which transitional arrangements apply. The transitional arrangement for Switzerland applies to the Euratom R&T programme and the whole Horizon Europe Programme (all Pillars) for award procedures (e.g. call for proposals, prizes) implementing the 2025 budget and onwards.Consequently, applicants established in Switzerland will be treated for such award procedures as entities established in an associated country, subject to the association agreement being applicable at the time of award. Therefore, grant agreements with beneficiaries established in Switzerland on the basis of the association agreement can only be signed if the association has started producing legal effects, i.e. the association agreement started to apply.For the transitional arrangement applicable to calls under the ERC Work Programme 2024 with opening date after 18 March 2024, the European Commission will continue to apply transitional arrangements but no grant agreements will be signed with applicants established in Switzerland based on the association agreement as its scope will not cover award procedures implementing the 2024 budget. In view of the above and in line with the principle of portability applicable to ERC grants, applicant Principal Investigators who submitted their proposal with Host Institutions established in the Switzerland and have been recommended for funding will be granted the possibility to ensure the eligibility of their proposal by transferring it to a new, eligible legal entity. For more information about national funding mechanisms, see: ""Are there any national co-funding mechanisms set up to support legal entities established in Switzerland for their participation in Horizon Europe actions?""",20/12/2024,FALSE
,15671,Can legal entities established in Switzerland be coordinators in Horizon Europe and Euratom R&T projects?,"In order to be coordinator (or beneficiary) of a project, a legal entity must sign the grant agreement. Due to the granting of transitional arrangements for Horizon Europe and the Euratom R&T programme, legal entities established in Switzerland are eligible to apply to all calls implementing the 2025 budget and onwards unless otherwise provided and be evaluated on equal footing as entities from Member States and Associated Countries. However, the grant agreements can only be signed with successful applicants if the association agreement with Switzerland applies at that time. For more information about transitional arrangements, see: ""Do transitional arrangements apply to legal entities established in Switzerland?""",20/12/2024,FALSE
,15674,Are international organisations with headquarters in Switzerland eligible for participation and for funding in Horizon Europe?,"International organisations, regardless of their headquarter location, may participate if the minimum participation conditions are fulfilled along with any other conditions laid down in the specific call topic. However, they are generally not automatically eligible for funding from Horizon Europe. As an exception, international European research organisations or international organisations with headquarters in a Member State or an associated country participating in European Research Council frontier research actions, training and mobility actions (e.g. Marie Skłodowska-Curie actions) or when provided for in the work programme or if their participation is deemed essential for the execution of the action, may receive funding.",20/12/2024,FALSE
,15675,Are there any national co-funding mechanisms set up to support legal entities established in Switzerland for their participation in Horizon Europe actions?,Please contact the relevant Swiss authorities in this regard.,20/12/2024,FALSE
,37034,When will Switzerland associate to Horizon Europe and the Euratom Research & Training Programme?,"On 20 December 2024, the President of the European Commission, Ursula von der Leyen, and President of the Swiss Federal Council, Viola Amherd, announced the conclusion of negotiations on a broad package of agreements with the objective to consolidate and develop the EU and Switzerland’s comprehensive partnership to its full potential. Among the agreements in this package, an agreement on Switzerland’s participation in Union programmes sets the terms for its participation in identified Union Programmes, including for Horizon Europe and the Euratom Research and Training programme. Switzerland will become an associated country to Horizon Europe and the Euratom R&T programme with a retroactive effect as of 1 January 2025 once this agreement, including the specific terms and conditions pertaining to participation in Horizon Europe and the Euratom R&amp;T programme, becomes applicable. The association would apply to the whole Horizon Europe programme (all Pillars) and the Euratom R&amp;T programme for award procedures (e.g. calls for proposals, prizes) implementing the 2025 budget and onwards.While waiting for the start of application of the agreement, transitional arrangements will be applied to Swiss applicants. For more information about transitional arrangements, see: ""Do transitional arrangements apply to legal entities established in Switzerland?""",20/12/2024,FALSE
,55253,Can legal entities established in the Republic of Korea be coordinators in Horizon Europe projects?,"In order to be coordinator (or beneficiary) of a project, a legal entity must sign the grant agreement.Thanks to the granting of transitional arrangements for Horizon Europe Pillar II actions as of 1st January 2025, legal entities established in the Republic of Korea may participate in actions under Horizon Europe Pillar II from Work Programme 2025 and onwards as entities from an Associated Country, thus in principle on equal footing with entities from Member States. Unless the work programme sets out specific conditions as to the designation of the coordinator, entities from the Republic of Korea may become project coordinators However, the grant agreements can only be signed with successful applicants when the association agreement with the Republic of Korea becomes applicable.",20/12/2024,FALSE
,55251,What are the rights of participants from the Republic of Korea in actions under Pillar II of Horizon Europe?,"Once the Association Agreement starts producing legal effects (through its entry into force or provisional application), participants from the Republic of Korea will in principle have the same rights as entities established in EU Member States and in other Associated Countries in Horizon Europe Pillar II-related calls and projects, with the very limited exceptions. Therefore, entities from the Republic of Korea will be eligible for funding under the same conditions as those other eligible entities. Beneficiaries from the Republic of Korea will be able to lead project consortia as coordinators. As entities established in an Associated Country, they will count towards the minimum number of legal entities required in a collaborative actions under Pillar II of Horizon Europe.",20/12/2024,FALSE
,55250,Does the transitional arrangement apply to legal entities established in the Republic of Korea?,"Yes. The transitional arrangement applies in relation to legal entities from the Republic of Korea in all actions under Pillar II of Horizon Europe in Work Programmes from 1st January 2025 onwards (see ‘List of participating countries’).Therefore, as from that date, in actions under Pillar II of Horizon Europe, applicants from the Republic of Korea are already treated as if the Republic of Korea were an associated country throughout the process, from admissibility and eligibility to evaluation, up until the preparation of grant agreements. However, grant agreements with beneficiaries established in the Republic of Korea can only be signed once the association agreement has started producing legal effects, i.e. through its entry into force or provisional application.In that context, legal entities from the Republic of Korea including universities, research centres, scientists, innovative businesses, industry, etc. can submit proposals in which they participate as beneficiaries in response to the calls for collaborative proposals pertaining to Pillar II (“Global Challenges and European Industrial Competitiveness”) published in Work Programmes 2025 onwards.In all other than Pillar II actions under Horizon Europe programme, legal entities from the Republic of Korea are treated as entities from a non-associated third country.",20/12/2024,FALSE
,55249,What parts of Horizon Europe will the Republic of Korea be associated to?,"The Republic of Korea is in the process of associating to Pillar II of Horizon Europe (‘Global Challenges and European Industrial Competitiveness’). As such, legal entities established in the Republic of Korea will be eligible to apply and receive funding as beneficiaries in all actions under Pillar II, unless otherwise provided in the relevant Work Programmes.This pillar is characterised by the multi- or interdisciplinary nature of its projects. Its collaborative research orientation and the priorities outlined in its clusters have strong synergies with the R&I system of the Republic of Korea, and corresponds to both sides’ strong political will to address together global issues such as climate change, health, energy and mobility, food, bioeconomy and natural resources and environment.Note that legal entities from the Republic of Korea may be able to participate in actions under other parts of Horizon Europe, i.e. beyond Pillar II, if allowed by the call conditions, however, in such actions they will be treated as legal entities from a non-associated third country.",20/12/2024,FALSE
,22172,What are the entities ‘maintained’ by public interest trusts concerned by the Council Implementing Decision 2022/2506?,"The entities ‘maintained’ referred to in Article 2(2) of the Council Implementing Decision 2022/2506 are, in principle, the following:Entities listed in Annex I of the Hungarian Act IX of 2021 either by name (usually higher education institutions) or by category (e.g. research centers/institutes, farms/agricultural companies, museums, etc.)The indicative list of affected entities (i.e. public interest trusts and entities maintained by them) is available under this link.Entities that have been transferred to the public interest trusts through the individual Hungarian Acts by which public interest trusts were established and which are owned by these public interest trusts (that may have been created or may be created in the future), i.e.:Entities for which a public interest trust owns 100% of shares and;Entities for which a public interest trust can exercise a decisive influence and control (case-by-case assessment based on the criteria set by the EU legislation on mergers and anti-money laundering, i.e. Article 3 of Council Regulation (EC) No 139/2004 of 20 January 2004 on the control of concentrations between undertakings and Article 3(6)(a)(i) of Directive (EU) 2015/849 of the European Parliament and of the Council of 20 May 2015 on the prevention of the use of the financial system for the purposes of money laundering or terrorist financing).",02/09/2024,FALSE
,19530,What is needed to comply with the open science obligations in Horizon Europe?,"The open science obligations are described in the Model Grant Agreement (article 17) and detailed guidelines on complying with them are provided in the Annotated Model Grant Agreement.These obligations essentially consist of:Open access to publications: Beneficiaries must ensure immediate open access to peer-reviewed scientific publications relating to their results via a trusted repository under open licenses. These include articles and long-text formats, such as monographs and other types of books (for this type of publications, licenses may exclude commercial and/or derivative use). Beneficiaries (or authors) must retain sufficient intellectual property rights to comply with the open access requirements.Research data management: Beneficiaries must manage responsibly the digital research data generated in the action in line with the FAIR principles (‘Findability’, ‘Accessibility’, ‘Interoperability’ and ‘Reusability’). They should also ensure open access to research data via a trusted repository under the principle ‘as open as possible, as closed as necessary’.Additional open science practices: Beneficiaries must provide (digital or physical) access to data or other results needed for the validation of the conclusions of scientific publications, provided their legitimate interests are safeguarded and constraints are taken into account (this does not apply under the ERC Work Programmes 2021-2025). In addition, where the call conditions impose additional obligations regarding open science practices, these must also be complied with.Specific obligations regarding open science in public emergencies apply at the request of the granting authority, with the exception of the ERC Work Programmes 2021-2025, where such an obligation does not apply.",23/08/2024,FALSE
,19528,Is open science evaluated under the same criteria in all parts of the Horizon Europe programme?,"All Work Programmes evaluate the quality of open science practices under the “excellence” and “quality and efficiency of the implementation” award criteria, except the European Research Council (ERC) which does not explicitly include open science in the evaluation.Note that the open science obligations set by the Model Grant Agreement (Article 17) do however also apply to the ERC grants, with the exception of the following which do not apply under the ERC Work Programmes 2021-2025:the obligation to give access to data or other results if needed to validate the conclusions of a publication. Such obligation applies to all other Programmes provided that the beneficiaries' legitimate interests or constraints are safeguarded.the additional provision on access in cases of public emergency. Such a provision states that in cases of public emergency, if requested by the granting authority, immediate open access to all research outputs must be provided under open licenses or, if exceptions apply, access under fair and reasonable conditions to legal entities that need the research outputs to address the public emergency.",23/08/2024,FALSE
,44742,Can SME owner/managers without salary use the personnel unit cost option under Horizon Europe?,"The budget category A.6 Personnel unit cost replaces categories A.1 to A.4 (A.1 Employees, A.2 Natural persons with direct contract, A.3 Seconded persons against payment and A.4 SME owners and natural person beneficiaries) and covers the cost of all personnel that work on HE actions.Therefore, beneficiaries using the Personnel unit cost have to charge also the SME owner/managers without salary costs under the Personnel unit cost, even if the personnel costs of the SME owner are not included in the total staff costs.",10/07/2024,FALSE
,44741,"For the calculation of the daily rate under the personnel unit cost option in Horizon Europe, what is included in the total staff count (annual work units - the denominator of the formula)?","The total staff count (number of annual work units - AWU) includes the number of persons who worked full-time within the enterprise in question.The work of persons who have not worked the full year, the work of those worked part-time, regardless of duration, and the work of seasonal workers are counted as fractions of annual work units.The number of AWU is determined by the number of staff in the beneficiary’s statutory accounts, which are established in accordance with the relevant national law.",10/07/2024,FALSE
,44740,"For the calculation of the daily rate under the personnel unit cost option in Horizon Europe, what is included in the total staff costs (the numerator of the formula)?","The total staff costs refer to the total expenditure of the beneficiary for all its staff, and not only personnel working on research and innovation. The costs include everything listed under the ‘Staff costs’ heading in the statutory accounts of the beneficiary, recorded in accordance with the accounting standards applicable in the country where the beneficiary is established. This may mean that under the ‘Staff costs’ heading there are costs that would not be eligible in the actual cost method.",10/07/2024,FALSE
,44739,"For the personnel unit cost option under Horizon Europe, in which intervals can an organisation request an update of its daily rate?","An update can be requested every two years. Example: If the current daily rate was validated in June 2024, its update can be requested in June 2026.",10/07/2024,FALSE
,44738,"If a beneficiary using the personnel unit cost in their Horizon Europe grants requests the update of their daily rate, will the new daily rate apply to on-going grants?",No. The updated daily rate applies only to proposals invited to grant preparation after the approval of the update.,10/07/2024,FALSE
,44737,Is the personnel unit cost daily rate validated for Horizon Europe applicable to a EURATOM project?,"Yes, the personnel unit cost daily rate is validated only once for the beneficiary, no matter if for a Horizon Europe or EURATOM grant. The validated daily rate applies then to all Horizon Europe and EURATOM grants of the beneficiary. Any guidance document referring to the Horizon Europe personnel unit cost is applicable for EURATOM as well, unless otherwise stated.",10/07/2024,FALSE
,44736,Can a beneficiary in an on-going Horizon Europe grant switch from using actual costs for personnel costs to using the personnel unit cost option?,"No. The decision by an organisation to use the personnel unit cost option, after being approved, applies to all future Horizon Europe and EURATOM grants that will be awarded after the validation of the daily rate. The beneficiary’s ongoing grants cannot be amended to use personnel unit cost.",10/07/2024,FALSE
,42310,Can entities established in the UK be involved in Horizon Europe actions as recipients of financial support to third parties (FSTP)?,"As a general rule, regardless of the association status of the UK vis-à-vis Horizon Europe, legal entities established in the UK may participate in FSTP calls and be recipient of FSTP provided that the FSTP scheme, and in particular the persons or categories of persons that may receive financial support as third parties, complies notably with the conditions set out in the particular Work Programme of the funding body (e.g. the General Annexes of the Main Work Programme 2023/2024, see p. 13 or the EIT single programming document), the call for proposals, and the Horizon Europe grant agreement, and the FSTP scheme of the beneficiary (e.g. business plan of the KICs). This assessment is to be made by the entity providing FSTP taking into account all the particulars of each FSTP case.Please note that if the condition to be eligible to receive financial support under the FSTP scheme is linked to being established in an associated country, entities established in the UK are considered established in an associated country as of 1 January 2024.",07/06/2024,FALSE
,35181,"When participating in the project either as a beneficiary requesting zero funding or as an associated partner, does the Joint Research Centre (JRC) have to prepare financial reporting?","When the JRC participates in multi-beneficiary grants as a beneficiary requesting zero funding or as an associated partner, it is not required to submit a financial statement at either the interim or final reporting stage. The JRC should not complete, insert, or sign any financial statements, reports on resources used, or financial reports during the implementation. JRC data fields should be left empty, as the system recognises this exemption and the coordinator/consortium will not be blocked.",24/04/2024,FALSE
,16048,"In Horizon Europe, what is the status of participants from non-EU, Associated or Third Countries?","Any legal entity, regardless of its place of establishment, including legal entities from non-associated third countries or international organisations is eligible to participate (whether it is eligible for funding or not), provided that the conditions laid down in the Horizon Europe Regulation have been met. This is in addition to any other conditions laid down in the specific call topic which may provide for limitations or restrictions in certain cases. As per the ‘List of Participating Countries in Horizon Europe’, the ‘Horizon Europe Programme Guide’ and the ‘Horizon Europe - Work Programme 2023-2024 General Annexes’, legal entities from Associated Countries can participate under equivalent conditions as legal entities from the EU Member States. This is unless specific limitations or conditions are laid down in the work programme and/or call/topic text. Most Horizon Europe calls are also open to participants from non-associated countries, Third Countries and international organisations. This is unless specific limitations or conditions are laid down in the work programme and/or the call/topic text, such as those highlighted for associated countries above. Any updates and details which will be derived following the entry into force of association agreements for example, the list of Associated Countries etc. can be found in the aforementioned documents. Exceptions shall be addressed by the specific work programmes and calls.",09/02/2024,FALSE
,21476,"In case my lump sum grant is audited, do I need to provide complete accounts or individual salary statements?","Under the lump sum grant agreement, there is no obligation to keep records on the actual costs incurred. However, you may have to comply with other record keeping requirements outside the lump sum grant agreement (e.g., under national law or your internal procedures). It is possible that some of these records, if relevant for the project, are used in case of an audit to verify the reality of the work done. This includes the points mentioned in Article 25.1.3 (i.e., complete accounts, individual salary statements or other personal data). Such information and data can also be requested in the specific context of certain investigations, for example, related to fraud suspicion.",15/01/2024,FALSE
,32325,Which parts of the Horizon Europe programme could receive an increase in budget as a result of the UK’s association?,"The association of the UK to Horizon Europe Programme will result in an increase of the budget available for projects from 2024 onwards. In line with Article 16(5) of the Horizon Europe Regulation (EU) 2021/695 of the European Parliament and the Council of 28 April 2021 (OJ L 170/1, 12.05.2021), the allocation of the financial contributions from UK and other associated countries to the Programme must take into account the level of participation of the legal entities of the associated countries in each part of the Programme.",07/12/2023,FALSE
,31376,"Overall, what are the rights of UK participants?","As of 1 January 2024, the entities established in the UK can participate under equivalent conditions as those applicable to entities established in the Union in all calls or contests implementing the programme’s budget of 2024 and onwards, within the scope of the UK’s association (see FAQ 31047). For example, entities established in the UK are eligible for EU funding at the same rates and under the same conditions as beneficiaries or contestants for prizes from EU Member States. As beneficiaries, they are able to lead project consortia if so decided by the consortium. They also count towards the minimum number of countries requirement in calls for transnational projects.In duly justified exceptional cases, restrictions to participation may apply and will be clearly specified in the calls for proposals.",07/12/2023,FALSE
,31375,Are entities established in the UK eligible to join Institutionalised European Partnerships? How?,"In line with Council Regulation (EU) 2021/2085 establishing the joint undertakings under Horizon Europe, membership to the Joint Undertakings is open to legal entities established in Member States, in Countries Associated to Horizon Europe and to International Organisations as well as to Member States and Associated Countries themselves as Participating States in tripartite JUs. Therefore, the UK may become itself a member as may entities established in the UK in line with the applicable rules.Entities established in the UK are able to join as associated members following an open and transparent selection procedure launched by the individual JU (not all JUs are open to this possibility).On the other hand, the UK itself may join as a Participating State in tripartite JUs (in KDT JU and EuroHPC JU) upon notification of its participation by means of a letter of commitment.Membership is also possible as a constituent member of an association that is a member of a JU and will depend on the internal rules governed by private law of that association.",07/12/2023,FALSE
,31047,What parts of Horizon Europe is the UK associated to?,"The UK is associated to the full Horizon Europe programme with the exception of the equity instrument of the EIC. The scope of association includes the European Research Council (ERC), the Marie Skłodowska-Curie Actions, the six ‘Global Challenges’ clusters and Missions, the partnerships, the European Institute of Innovation and Technology, etc.UK entities are not eligible to participate in the EIC Fund part of the EIC Accelerator, since the UK decided not to take part in financial instruments of the EU. This means entities established in the UK can apply for grants under the Accelerator but they will not be eligible for loans or equity.They can also participate on an equal footing with entities established in EU Member States and other associated countries in the EIC’s Pathfinder component.In duly justified exceptional cases, restrictions to participation may apply and will be clearly specified in the calls for proposals.",07/12/2023,FALSE
,31371,When will the UK be associated to Horizon Europe and from which moment will entities established in the UK be eligible to receive funding?,"The UK is associated to Horizon Europe (see FAQ 31047 for the scope of UK's association) as of 1 January 2024 and the association applies for award procedures implementing the 2024 budget and onwards (e.g. calls for proposals and prizes). The budget year from which a call topic is funded is indicated on the respective topic page on the Funding & Tender Opportunities Portal.For such award procedures implementing 2024 budget and onwards, entities established in the UK  are eligible to receive EU funding as entities established in an associated country and, as a consequence, to sign Horizon Europe grant agreements as beneficiaries, or be awarded Horizon Europe prizes. As any other beneficiary, a legal entity established in the UK can become a coordinator, if so decided by the consortium. To be noted that entities established in the UK applying as “beneficiaries” for Horizon Europe calls for proposals funded from budget appropriations of years 2021, 2022 and 2023 will not be able to receive EU funding, even if the signature of the grant agreement takes place in 2024, unless exceptional circumstances apply.In duly justified exceptional cases, restrictions to participation may apply and will be clearly specified in the calls for proposals or rules of contests.",07/12/2023,FALSE
,31374,Are all calls for proposals open to participation of entities established in the UK?,"Specific conditions may be set out in certain calls for proposals.Exceptionally, for actions related to Union strategic assets, interests, autonomy or security, the work programmes may provide that the participation can be limited to those legal entities established in Member States only, or, to legal entities established in specified associated or other third countries in addition to Member States (eligible countries).Moreover, for duly justified and exceptional reasons, in order to guarantee the protection of the strategic interests of the Union and its Member States, the work programmes may also exclude in those actions the participation of legal entities established in eligible countries directly or indirectly controlled by non eligible countries or by legal entities of non eligible countries from individual calls, or make their participation subject to conditions set out in the work programmes.",04/12/2023,FALSE
,31373,"Can entities established in the UK be awarded a Horizon Europe prize funded from budget appropriations of years 2021, 2022 and 2023?",This is not possible unless the Rules of contest specify that the prize may be awarded to entities established in non associated third countries.,04/12/2023,FALSE
,31372,"Can entities established in the UK continue to apply to Horizon Europe grant award procedures funded from budget appropriations of years 2021, 2022 and 2023?","Yes. Entities established in the UK, including universities, research centres, scientists, innovative businesses, industry, etc. can continue to apply. For calls from the 2023 Work Programmes, the European Commission will continue to administer transitional arrangements and the UK will continue to provide funding under the UK Guarantee. This means that for successfully evaluated proposals, the entities established in the UK will not be eligible to receive EU funding under award procedures implementing budget appropriations from years 2021, 2022 and 2023, unless exceptional circumstances apply.In that respect, these entities established in the UK can still participate without receiving EU funding as an associated partner, if allowed by the call conditions.In duly justified exceptional cases, restrictions to participation may apply and will be clearly specified in the calls for proposals.",04/12/2023,FALSE
,31370,When did the European Commission and the UK Government reach a political agreement on UK association to Horizon Europe?,The European Commission and the UK Government have concluded negotiations and reached an agreement in principle on the association of the UK to Horizon Europe and Copernicus under the Trade and Cooperation Agreement on 7 September 2023.The Joint Statement by the European Commission and the UK Government on the UK's association to Horizon Europe and Copernicus is available here.More general FAQs on the UK Association to Horizon Europe and also Copernicus are available here.,20/09/2023,FALSE
,22173,Are beneficiaries (and affiliated entities) of on-going and future EU grant agreements entitled to conclude further legal commitments with entities concerned by the Council Implementing Decision 2022/2506?,"As from 16 December 2022, which is the date of effect of Council Implementing Decision 2022/2506, and as long as the measure is in place, no new legal commitments involving Union funding can be entered into by beneficiaries (or affiliated entities) with third parties that are entities concerned by this decision. This concerns legal commitments involving Union funding e.g. related to purchase of goods, works or services; subcontracting; financial support to third parties; equipment renting or leasing; personnel seconded against payment.",01/08/2023,FALSE
,21512,"If a Hungarian entity concerned by the measures set out in the Council Implementing Decision 2022/2506 may not become beneficiary to the project at the time of the grant agreement signature, can the signature be postponed until the measures are lifted?","There are multiple factors determining the timing of the signature of a grant agreement, including the availability of budget and the so-called time-to-grant duration (i.e. maximum time period to sign grant agreements with applicants as from the final date for submission of complete proposals).These factors can only be determined by the granting authority depending on each specific case.",01/08/2023,FALSE
,21511,Can a Hungarian entity concerned by the measures set out in the Council Implementing Decision (EU) 2022/2506 continue to apply to calls for proposals after the 16 December 2022?,"The purpose of the measures adopted by the Union is to protect the financial interests of the Union but not to prevent the participation of the concerned Hungarian entities in EU-funded actions.Hungarian entities concerned by the Council Implementing Decision (EU) 2022/2506 can continue to apply to calls for proposals after the 16 December 2022.For successfully evaluated proposals, if these measures are not lifted at the time of the decision on the grant award (following the procedure set out by Article 7 of Regulation 2020/2092), the concerned Hungarian entities would be found ineligible to receive Union funding.In that respect, these Hungarian entities could still participate without receiving EU/Euratom funding, as associated partner, if allowed by the call conditions.Important to note that only public interest trusts established on the basis of the Hungarian Act IX of 2021 and entities maintained by them are concerned by the Council measures.All other Hungarian entities not affected by the measures can continue to apply and receive funding as beneficiaries.",01/08/2023,FALSE
,21510,"What happens to proposals with Hungarian applicants concerned by Council Implementing Decision (EU) 2022/2506, for which no grant agreement was signed before 16 December 2022?","The general rule is that no legal commitments can be entered into with the concerned Hungarian entities once the Council Implementing Decision takes effect (i.e. as of 16 December 2022), irrespective of the timing of evaluation, submission or other steps of the award procedure.In cases where the concerned Hungarian entities applied along other entities as part of a consortium, legal commitments can still be entered into with the remaining consortium members. In that respect:If the proposal continues to remain eligible (meets the minimum eligibility criteria) without the concerned Hungarian entity as a beneficiary, the grant may be awarded and the grant agreement may be signed and the concerned Hungarian entity may remain in the project as an associated partner, provided that the call conditions do not exclude this legal status.If the Hungarian entity does not want to continue in the project as associated partner, the Consortium must either re-distribute the Hungarian entity’s tasks among the remaining participants or propose a new participant to take over those tasks. If, due to the withdrawal or change of role to associated partner, the consortium does no longer satisfy minimum eligibility requirements, the proposal would be deemed eligible only if the consortium adds additional eligible entities (one or more as needed) to sign the grant agreement as beneficiaries.",01/08/2023,FALSE
,30162,How to handle own resources in lump sum proposals?,"In all Horizon Europe proposals, the budget must be in balance (total expenditure must equal total income). Specifically, the total project eligible costs on the one hand must equal the requested grant amount plus any own resources on the other hand. For better readability, we refer only to ‘own resources’ in this FAQ, but the information provided here applies equally to ‘financial contributions’ and ‘income generated by the action’. For further background see this FAQ.In lump sum proposals, you enter the project’s direct eligible costs in the detailed budget table (Excel tool). The Excel tool takes into account indirect costs and funding rates and calculates the lump sum shares (maximum amounts) that can be requested in Part A of the proposal. However, own resources are not part of the detailed budget, nor of the budget in Part A. They must be considered separately to ensure the budget is in balance.If you contribute own resources to the lump sum project,these own resources must be described in the ‘Any comments’ tab of the detailed budget table (provide the type of resource and the amount in EUR).the maximum amount you can request in the Part A budget table may be lower than the lump sum share calculated by the Excel tool (see below for details).Applicants with a funding rate of 100%: The requested grant amount in the Part A budget must equal the lump sum share calculated by the Excel tool minus the sum of your own resources. In the absence of own resources, the amount to be entered in the Part A budget is the lump sum share calculated by the Excel tool.Applicants with a funding rate of less than 100% (e.g. 70%):The minimum amount to contribute as own resources is the share of the total eligible costs that is not funded by the grant (i.e., the amount needed to have a balanced budget). If you contribute only this minimum amount, the amount to be entered in the Part A budget is the lump sum share calculated by the Excel tool.Any additional own resources, beyond the minimum defined above, must be subtracted from the lump sum share calculated by the Excel tool. The result is the amount to be entered in the Part A budget.Associated partnersYour own resources may be described in the ‘Any comments’ tab of the detailed budget table. No EU funding can be requested in the Part A budget table.If selected for funding, the Excel tool provides the lump sum shares for Annex 2 of the grant agreement. However, if a lower amount than calculated by the Excel tool was requested in Part A (e.g., to reflect own resources), the lump sum shares of the beneficiary concerned must be decreased accordingly.",17/05/2023,FALSE
,18452,What are Associated Partners and how should they be treated in the proposal and reporting?,"Associated partners are entities which participate in the action without signing the grant agreement, and without the right to charge costs or claim contributions. They need to be registered in the Participant Register since the participant identification code (PIC) is mandatory for the submission of the application form, but they do not need to be validated.Associated partners do not have edit rights in the submission forms; the coordinator must encode all their information for them, including the information on role of participating organisation, researchers table and the information on participants’ previous activities related to the call. They also must include their budget under the columns ‘Income generated by the action’, ‘Own resources’ or ‘Financial contributions’ in the proposal budget table, as applicable. In addition, the tasks to be performed by associated partners must be described in the proposal part B, including their planned effort per WP.If the proposal is funded, associated partners do not sign the grant agreement and their budget is therefore not included in the annex 2 of the grant agreement. We keep for reference the budget included in the proposal. Periodic reports and deliverables must include information on the activities carried out by associated partners, however they do not have edit rights to use the grant management tool. Their contributions do not appear in the 'use of resources' section as part of the periodic reporting.Associated partners can become work package leaders, milestone leaders and lead beneficiaries in work packages in Horizon Europe projects. If this is the case, the associated partners can be selected from the list of available project partners.",19/04/2023,FALSE
,22308,What are the rights of New Zealand participants?,"Once the Association Agreement is applied, New Zealand participants will have the same rights as participants of other Associated Countries in Horizon Europe Pillar II related calls and projects, with the very limited aforementioned exceptions. Therefore, New Zealand entities will be eligible for funding with the same rights and under the same conditions as those other eligible entities. New Zealand beneficiaries will be able to lead project consortia and thus be coordinators. They will also count as entities established in an Associated Country towards the minimum number of countries requirement in calls for transnational projects.
",28/03/2023,FALSE
,22307,Does the transitional arrangements apply to legal entities established in New Zealand?,"Yes. New Zealand is in the list of countries to which the transitional arrangements, if provided for in the particular Horizon Europe Work Programme, apply on the basis that the association negotiations are being processed or where association is imminent (see ‘List of Participating Countries’).
Therefore, New Zealand applicants are already treated as if New Zealand was an associated country throughout the process, from admissibility and eligibility to evaluation, up until the preparation of grant agreements. However, grant agreements with beneficiaries established in New Zealand on the basis of the association agreement can only be signed if the association has started producing legal effects, i.e. the agreement started to apply.
In that context, New Zealand legal entities including universities, research centres, scientists, innovative businesses, industry, etc. can submit proposals in which they participate as beneficiaries in the calls for collaborative proposals pertaining to Pillar II (“Global Challenges and European Industrial Competitiveness”) published in Work Programmes 2023 onwards.
",28/03/2023,FALSE
,22306,What parts of Horizon Europe will New Zealand be associated to?,"New Zealand is in the process of associating to Pillar II of Horizon Europe (‘Global Challenges and European Industrial Competitiveness’). As such, legal entities established in New Zealand will be eligible to apply and receive funding as beneficiaries, unless provided otherwise in the Horizon Europe Work Programmes.
This pillar is characterised by the multi- or interdisciplinary nature of its projects. Its collaborative research orientation and the priorities outlined in its clusters have strong synergies with the New Zealand R&amp;I system, and corresponds to both sides’ strong political will to address together global issues such as climate change, health, energy and mobility, food, bioeconomy and natural resources and environment.
In duly justified exceptional cases for actions related to the European Union’s strategic assets, interests, autonomy or security, Horizon Europe work programmes may provide that the participation can be limited to those legal entities established in eligible countries, e.g. EU Member States only, or in Member States and Associated Countries, or, to those legal entities established in specified Associated or other third countries in addition to Member States.
Moreover, for duly justified and exceptional reasons, in order to guarantee the protection of the strategic interests of the Union and its Member States, the work programme may also exclude the participation of legal entities established in eligible countries but directly or indirectly controlled by ineligible countries or by legal entities established in ineligible countries from individual calls, or make their participation subject to conditions set out in the work programme.
Note that New Zealand legal entities can continue to apply and participate in the other parts of Horizon Europe, i.e. beyond Pillar II, unless exceptions apply without receiving EU funding, i.e. as associated partner, if allowed by the call conditions.
",28/03/2023,FALSE
